function,file,line,status,markers,bucket,score,caller_count,callee_count,runtime_focus,nd,cluster,role,readiness,code_change_ready,marker_ready,blocker,next_probe
SearchObjectControl,GAME/PICKUP.C,175,decompiled,none,P1,2122,0,6,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraClimbLeftCornerTest,GAME/LARACLMB.C,866,decompiled,none,P1,2098,1,2,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraClimbRightCornerTest,GAME/LARACLMB.C,663,decompiled,none,P1,2086,1,2,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraTestClimb,GAME/LARACLMB.C,872,decompiled,none,P1,2041,1,3,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraTestWaterClimbOut,GAME/LARASURF.C,329,decompiled,none,P1,1963,1,1,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
ControlElectricalLight,GAME/OBJLIGHT.C,104,decompiled,none,P1,1856,0,4,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
CalcLaraMatrices,GAME/DELSTUFF.C,96,decompiled,none,P1,1848,1,4,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
FlareControl,GAME/LARAFLAR.C,25,decompiled,none,P1,1825,0,3,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LaraTestClimbStance,GAME/LARA.C,6314,decompiled,none,P1,1823,3,1,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
Load_and_Init_Cutseq,GAME/DELTAPAK.C,3221,decompiled,none,P2,1784,1,8,no,no,gameplay-mixed,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
FindPlinth,GAME/PICKUP.C,319,decompiled,none,P2,1727,0,1,no,no,object-interaction,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
DoFlareInHand,GAME/LARAFLAR.C,143,decompiled,none,P2,1674,2,2,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
CreateZone,GAME/LOT.C,21,decompiled,none,P2,1588,1,0,no,no,gameplay-mixed,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
TriggerAlertLight,GAME/OBJLIGHT.C,17,decompiled,none,P2,1581,1,3,no,no,item-lighting-interaction,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
ControlStrobeLight,GAME/OBJLIGHT.C,22,decompiled,none,P2,1521,0,3,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
CollectCarriedItems,GAME/PICKUP.C,148,decompiled,none,P2,1430,1,2,no,no,object-interaction,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
DelAlignLaraToRope,GAME/LARAMISC.C,131,decompiled,none,P2,1268,1,0,no,no,lara-movement-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
special4_init,GAME/DELTAPAK.C,2580,decompiled,none,P2,1148,0,0,no,no,gameplay-mixed,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
special3_control,GAME/DELTAPAK.C,2606,decompiled,none,P2,1148,0,0,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
init_water_table,GAME/SETUP.C,254,decompiled,none,P2,800,0,0,yes,no,gameplay-mixed,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitialiseSqrtTable,GAME/SETUP.C,318,decompiled,none,P2,800,0,0,yes,no,gameplay-mixed,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitTarget,GAME/SETUP.C,331,decompiled,none,P2,800,0,0,yes,no,gameplay-mixed,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitBinoculars,GAME/SETUP.C,371,decompiled,none,P2,800,0,0,yes,no,gameplay-mixed,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitialiseLaraCarriedItems,GAME/SETUP.C,422,decompiled,none,P2,800,0,0,yes,no,lara-movement-support,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitialiseFootPrints,GAME/SETUP.C,606,decompiled,none,P2,800,0,0,yes,no,gameplay-mixed,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
BaddyObjects,GAME/SETUP.C,618,decompiled,none,P2,800,0,0,yes,no,object-interaction,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitialiseObjects,GAME/SETUP.C,893,decompiled,none,P2,800,0,0,yes,no,object-interaction,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
LoadLevel,GAME/SETUP.C,1009,decompiled,none,P2,800,0,0,yes,no,gameplay-mixed,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
TrapObjects,GAME/SETUP.C,1724,decompiled,none,P2,800,0,0,yes,no,object-interaction,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
ObjectObjects,GAME/SETUP.C,1729,decompiled,none,P2,800,0,0,yes,no,object-interaction,runtime-context,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
EscapeBox,GAME/BOX.C,733,decompiled,none,P2,100,0,0,no,no,gameplay-mixed,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
ResetGuards,GAME/CONTROL.C,2065,decompiled,none,P2,100,0,0,no,no,gameflow-runtime-control,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
InitPackNodes,GAME/DELTAPAK.C,3574,decompiled,none,P2,100,0,0,no,no,gameplay-mixed,supporting-candidate,backlog-candidate-proof-needed,no,no,module-game row is useful backlog context but not the first proof cluster,defer until debris/object-breakage proof gate closes
