function,file,line,status,markers,bucket,score,caller_count,callee_count,runtime_focus,nd,cluster,role,readiness,code_change_ready,marker_ready,blocker,next_probe
LoadGame,SPEC_PSXPC_N/LOADSAVE.C,119,decompiled,none,P2,1750,2,4,no,no,frontend-loadsave,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
GetStringLength,SPEC_PSXPC_N/TEXT_S.C,401,decompiled,none,P2,1742,3,0,no,no,ui-text-rendering,cluster-support,cluster-support-proof-needed,no,no,ui text support row still lacks callsite/state contract and non-raw equivalence proof,include in RE-164 ui text rendering call/data map
VSyncFunc,SPEC_PSXPC_N/PSXMAIN.C,26,debugged,D;F;ND,P0,1400,0,0,yes,yes,platform-main-lifecycle,nd-marker-audit-target,nd-marker-proof-needed,no,no,ND marker needs behavior proof before source or marker changes,dedicated ND marker proof after the initial ui text rendering map
S_control_screen_position,SPEC_PSXPC_N/SPECIFIC.C,61,decompiled,none,P2,1369,0,1,no,no,platform-gpu-display,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
OptimiseOTagR,SPEC_PSXPC_N/SHADOWS.C,75,decompiled,none,P2,1258,1,0,no,no,platform-gpu-display,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
sub_1054,SPEC_PSXPC_N/TITSEQ.C,738,unknown,none,P2,300,0,0,yes,no,frontend-sequence,runtime-context,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
CalcClipWindow_ONGTE,SPEC_PSXPC_N/BUBBLES.C,45,decompiled,none,P2,50,0,0,no,no,geometry-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
InterpolateMatrix_CL,SPEC_PSXPC_N/CALCLARA.C,1208,decompiled,none,P2,50,0,0,no,no,geometry-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
GetFrames_CL,SPEC_PSXPC_N/CALCLARA.C,1874,decompiled,none,P2,50,0,0,no,no,geometry-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
GetBestFrame,SPEC_PSXPC_N/CALCLARA.C,2167,decompiled,none,P2,50,0,0,no,no,geometry-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
GetChange,SPEC_PSXPC_N/CONTROL_S.C,30,decompiled,none,P2,50,0,0,no,no,geometry-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
DecodeTrack,SPEC_PSXPC_N/DELTAPAK_S.C,310,decompiled,none,P2,50,0,0,no,no,geometry-support,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
S_CalculateStaticMeshLight,SPEC_PSXPC_N/LIGHT.C,115,decompiled,none,P2,50,0,0,no,no,platform-gpu-display,supporting-candidate,backlog-candidate-proof-needed,no,no,module SPEC_PSXPC_N row is useful context but not the first proof cluster,defer until ui text rendering proof gate closes
