api_name,declaration_status,definition_status,proof_status,code_change_readiness,blocker
SpuSetVoiceSampleNote,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceStartAddr,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceVolume,declared,absent,absent,blocked,behavior and ABI proof required
SpuSetVoiceVolumeAttr,declared,absent,absent,blocked,behavior and ABI proof required
SpuStGetStatus,declared,absent,absent,blocked,behavior and ABI proof required
SpuStGetVoiceStatus,declared,absent,absent,blocked,behavior and ABI proof required
SpuStQuit,declared,absent,absent,blocked,behavior and ABI proof required
SpuStTransfer,declared,absent,absent,blocked,behavior and ABI proof required
SpuWrite0,declared,absent,absent,blocked,behavior and ABI proof required
SpuWritePartly,declared,absent,absent,blocked,behavior and ABI proof required
