function,file,line,bucket,status,score,caller_count,callee_count,nd,runtime_focus,subcluster,proof_status,code_change_ready,marker_ready,blocker
GPU_SetScreenPosition,SPEC_PSXPC/MISC.C,271,P2,decompiled,970,1,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_GetScreenPosition,SPEC_PSXPC_N/MISC.C,358,P0,debugged,700,0,0,yes,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
CalculateObjectLightingLara,GAME/DRAW.C,66,P2,decompiled,100,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GetFrames,GAME/DRAW.C,112,P2,decompiled,100,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawAirBar,GAME/HEALTH.C,126,P2,decompiled,100,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
undraw_pistols,GAME/LARA2GUN.C,100,P2,decompiled,100,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
InitSubDiv,SPEC_PSXPC_N/DRAWOBJ.C,617,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
IniPrim,SPEC_PSXPC_N/DRAWOBJ.C,735,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
SubDiv4,SPEC_PSXPC_N/DRAWOBJ.C,798,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
SubDiv3,SPEC_PSXPC_N/DRAWOBJ.C,906,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
S_DrawDarts,SPEC_PSXPC_N/DRAWSPKS.C,16,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_UsePolygonBuffers,SPEC_PSXPC_N/GPU.C,44,P2,decompiled,50,0,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mSqrt,SPEC_PSXPC_N/MATHS.C,118,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mTranslate,SPEC_PSXPC_N/MATHS.C,285,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
iRotY,SPEC_PSXPC_N/MATHS.C,610,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
iRotZ,SPEC_PSXPC_N/MATHS.C,738,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
iRotPackedYXZ,SPEC_PSXPC_N/MATHS.C,811,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
iRotSuperPackedYXZ,SPEC_PSXPC_N/MATHS.C,818,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mRotSuperPackedYXZ,SPEC_PSXPC_N/MATHS.C,873,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
setrot,SPEC_PSXPC_N/MATHS.C,957,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
InterpolateMatrix,SPEC_PSXPC_N/MATHS.C,996,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
ASM_GetBounds,SPEC_PSXPC_N/MATHS.C,1098,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GetBounds,SPEC_PSXPC_N/MATHS.C,1103,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mClipBoundingBox,SPEC_PSXPC_N/MATHS.C,1118,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
InitInterpolation,SPEC_PSXPC_N/MATHS.C,1123,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
iPopMatrix,SPEC_PSXPC_N/MATHS.C,1214,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GetFrames,SPEC_PSXPC_N/MATHS.C,2240,P2,decompiled,50,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawF4,SPEC_PSXPC_N/MISC.C,89,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawLineH,SPEC_PSXPC_N/MISC.C,127,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
ProfileAddDrawOT,SPEC_PSXPC_N/PROFILE.C,162,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawRoomsAsm,SPEC_PSXPC_N/ROOMLETB.C,1492,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawRoomletListAsm,SPEC_PSXPC_N/ROOMLETB.C,2408,P2,decompiled,50,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
S_DrawDarts,SPEC_PSX/DRAWSPKS.C,16,P2,decompiled,-130,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_UsePolygonBuffers,SPEC_PSX/GPU.C,37,P2,decompiled,-130,0,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
ProfileAddDrawOT,SPEC_PSX/PROFILE.C,162,P2,decompiled,-130,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawCutSeqActors,SPEC_PSXPC/DELTAPAK_S.C,9,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
MakeMono,SPEC_PSXPC/DRAWOBJ.C,5,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
MGDrawSprite,SPEC_PSXPC/DRAWPHAS.C,609,P2,decompiled,-170,0,0,no,no,draw-phase-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
S_DrawDarts,SPEC_PSXPC/DRAWSPKS.C,16,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_UsePolygonBuffers,SPEC_PSXPC/GPU.C,36,P2,decompiled,-170,0,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mTranslate,SPEC_PSXPC/MATHS.C,184,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mRotX,SPEC_PSXPC/MATHS.C,297,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mRotY,SPEC_PSXPC/MATHS.C,302,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mRotYXZ,SPEC_PSXPC/MATHS.C,354,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mRotZ,SPEC_PSXPC/MATHS.C,360,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mRotSuperPackedYXZ,SPEC_PSXPC/MATHS.C,365,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mRotPackedYXZ,SPEC_PSXPC/MATHS.C,370,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
SetRotation,SPEC_PSXPC/MATHS.C,375,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
setrot,SPEC_PSXPC/MATHS.C,380,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
ASM_GetBounds,SPEC_PSXPC/MATHS.C,409,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GetBounds,SPEC_PSXPC/MATHS.C,414,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
mClipBoundingBox,SPEC_PSXPC/MATHS.C,429,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
InitInterpolation,SPEC_PSXPC/MATHS.C,434,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
iPopMatrix,SPEC_PSXPC/MATHS.C,495,P2,decompiled,-170,0,0,no,no,matrix-transform-core,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawF4,SPEC_PSXPC/MISC.C,75,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawLineH,SPEC_PSXPC/MISC.C,85,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
GPU_GetScreenPosition,SPEC_PSXPC/MISC.C,264,P2,decompiled,-170,0,0,no,no,gpu-scene-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
ProfileAddDrawOT,SPEC_PSXPC/PROFILE.C,27,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawRoomsAsm,SPEC_PSXPC/ROOMLETB.C,8,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
DrawRoomletListAsm,SPEC_PSXPC/ROOMLETB.C,19,P2,decompiled,-170,0,0,no,no,object-draw-support,source-priority-metadata-only,no,no,missing-maths-render-source-contract-and-non-raw-equivalence-proof
