rank,candidate_id,source_cluster_rank,source_cluster,gate_decision,focus_cluster,bridge_class,body_size_bucket,mapped_caller_count,mapped_callee_count,source_context_count,representative_source_context,ready_to_reopen_domain,source_patch_authorized,next_gate,stop_condition
11,3a208e2bf745,3,effects-lighting-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,small,21,0,21,GAME:ControlBlinker;GAME:ControlColouredLight;GAME:ControlElectricalLight;GAME:ControlExplosion;GAME:ControlPulseLight;GAME:ControlRaisingBlock,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
12,1ddbda046e37,1,collision-switch-door-cluster,needs-narrow-source-symbolic-export,yes,mapped-caller-callee-bridge,large,1,18,17,GAME:AddActiveItem;GAME:ExplodeItemNode;GAME:FireWeapon;GAME:GetFloor;GAME:GetHeight;GAME:GetSwitchTrigger,no,no,ghidra-collision-switch-door-cluster-narrow-export,candidate remains source-symbolic until narrowed export is generated
13,4a632b41837e,5,lara-combat-camera-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,medium,12,6,16,GAME:DelAlignLaraToRope;GAME:LaraAboveWater;GAME:LaraCollideStop;GAME:LaraControl;GAME:LaraDoClimbLeftRight;GAME:LaraSurface,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
14,4c90c6af8f9d,2,platform-frontend-service-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,medium,18,0,18,GAME:DrawGameInfo;GAME:draw_ammo_selector;GAME:draw_current_object_list;SPEC_PSX:DisplayConfig;SPEC_PSX:DisplayFiles;SPEC_PSX:FILE_Length,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
15,87d9c8a62335,3,effects-lighting-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,medium,18,0,18,GAME:CalculateCamera;GAME:ControlExplosion;GAME:CreateFlare;GAME:CutLaraBubbles;GAME:DoFlameTorch;GAME:DoFlareInHand,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
16,653df7c5909b,2,platform-frontend-service-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,small,18,0,18,SPEC_PSX:DEL_CDFS_Read;SPEC_PSX:DEL_ChangeCDMode;SPEC_PSX:InitNewCDSystem;SPEC_PSX:S_CDPlay;SPEC_PSX:S_CDStop;SPEC_PSX:S_PlayFMV,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
17,0aaa76206517,5,lara-combat-camera-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,medium,17,0,17,GAME:ChaseCamera;GAME:CombatCamera;GAME:ConfirmCameraTargetPos;GAME:ControlBodyPart;GAME:ControlEnemyMissile;GAME:DoProperDetection,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
18,1b3534d34062,2,platform-frontend-service-cluster,defer-after-focus-cluster,no,mapped-caller-heavy,medium,14,0,14,SPEC_PSX:GPU_FlipNoIdle;SPEC_PSX:LOAD_Start;SPEC_PSX:S_PlayFMV;SPEC_PSX:main;SPEC_PSXPC:GPU_FlipNoIdle;SPEC_PSXPC:GPU_FlipToBuffer,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
19,f457f2772655,1,collision-switch-door-cluster,needs-narrow-source-symbolic-export,yes,mapped-caller-heavy,tiny,14,0,14,GAME:CalculateSpotCams;GAME:DoLevel;GAME:LaraSwimCollision;GAME:LoadGameflow;GAME:OpenThatDoor;GAME:RestoreLaraData,no,no,ghidra-collision-switch-door-cluster-narrow-export,candidate remains source-symbolic until narrowed export is generated
20,a01f47cb95a4,2,platform-frontend-service-cluster,defer-after-focus-cluster,no,mapped-callee-bridge,large,0,13,11,GAME:GetFloor;GAME:GetFreeSpark;GAME:GetHeight;GAME:ItemNewRoom;GAME:KillItem;GAME:RemoveActiveItem,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
21,cc1a1b589426,4,maths-render-cluster,defer-after-focus-cluster,no,mapped-caller-callee-bridge,medium,2,11,13,GAME:CreateEffect;GAME:FallingBlock;GAME:SmashObject;SPEC_PSXPC:mPopMatrix;SPEC_PSXPC:mPushMatrix;SPEC_PSXPC:mPushUnitMatrix,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
22,6e9ad2da9fce,4,maths-render-cluster,defer-after-focus-cluster,no,mapped-caller-callee-bridge,large,3,8,11,GAME:GetRandomControl;SPEC_PSX:DrawRooms;SPEC_PSXPC:DrawRooms;SPEC_PSXPC:GetRandomControl;SPEC_PSXPC:mPopMatrix;SPEC_PSXPC:mPushMatrix,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
23,95467f3600d5,4,maths-render-cluster,defer-after-focus-cluster,no,mapped-callee-bridge,small,0,11,11,GAME:GetRandomDraw;SPEC_PSXPC:GetRandomDraw;SPEC_PSXPC:mCopyMatrix;SPEC_PSXPC:mPopMatrix;SPEC_PSXPC:mPushMatrix;SPEC_PSXPC:mTranslateXYZ,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
24,64182b59acd1,6,gameflow-save-runtime-cluster,defer-after-focus-cluster,no,mapped-caller-callee-bridge,small,9,2,11,GAME:AddRoomFlipItems;GAME:FlameEmitter2Control;GAME:PuzzleDone;GAME:RemoveRoomFlipItems;GAME:RestoreLevelData;GAME:_TestTriggers,no,no,defer-after-focus-cluster,candidate remains source-symbolic until narrowed export is generated
25,95c41ac597d6,1,collision-switch-door-cluster,needs-narrow-source-symbolic-export,yes,mapped-caller-heavy,small,11,0,9,GAME:CalculateCamera;GAME:ControlRollingBall;GAME:CreatureCollision;GAME:ItemPushLaraStatic;GAME:LaraWaterCurrent;GAME:MoveCamera,no,no,ghidra-collision-switch-door-cluster-narrow-export,candidate remains source-symbolic until narrowed export is generated
